,IoCType,InfoSource,IoCCategory,MD5,SHA1,SHA256
95,Hash,F-ISAC,Malware,0B75113F8A78DCC1DEA18D0E9AABC10A,269E61EED692911C3A886A108374E2A6D155C8D1,808385D902D8472046E5899237E965D8087DA09D623149BA38B3814659689906
96,Hash,F-ISAC,Malware,714A3DBD9E68AC506F48FBB2AE5C2F4A,A31FFD5D09EBC00E0AEC67634DB4145455F62AEE,22594AFDDE74F111DF4411ED782BC92CD80A6B1BCF83A0E78E5F9A3848900C9D
97,Hash,F-ISAC,Malware,AB913C26832CD6E038625E30EBD38EC2,719873F61EEB769493AC17D61603A6023A3DB6DD,1283C477E094DB7AF7D912BA115C77C96223208C03841768378A10D1819422F2
98,Hash,F-ISAC,Malware,89099235AAD37A29B7ACEDC96FDA0037,0C834642A4EB9CAD43711557EF9B08542F82EDE7,3EEF99E47C53EDCCA574B3CA684BE958AC5C1867C218F0711B66BD01623E48B6
99,Hash,F-ISAC,Malware,EA26B825169E39E0F2F3EAA3AB44354F,BF8CF6F8CF7769B47F71E7F72387BE7D9921E286,06C612E4F1A865C69BD1C71F801C3100BDF9327AEA2DCBB33661E86A7CDEAC12
100,Hash,F-ISAC,Malware,BE02F4E7F839BFCC9A00ACBCBA724BCE,D6D81683A2896FFD4C6A350558FBC7F2F5555278,2ADFD20D9860F94145277A5C4E027348C8B9C548AF9DA1FD8587956A31102CDC
101,Hash,F-ISAC,Malware,BCF76B649B5C6016B4071D197B1CE111,F4BB851898A35378E6856181CB1FFC18436ED50B,CEF2707760086718175235810E3E49A7BBFEDCE482DEE09EEF3D302247E97142
102,Hash,F-ISAC,Malware,49513B3B8809312D34BB09BD9EA3EB46,445294080BF3F58E9AAA3C9BCF1F346BC9B1ECCB,6F6F71FA3A83DA86D2ABA79C92664D335ACB9D581646FA6E30C35E76CF61CBB7
103,Hash,F-ISAC,Malware,8BA4948AC1EF8C0E8B0E2D4099E119A3,23FC35161EF867B8A5B0A4015D70DA0F3B5817F2,4235F33576B503FAACBAFB1B612F5FDF91FB406E73964F61064F232BD2B9C21C
104,Hash,F-ISAC,Malware,E1AE060DE3FB0C272E6185BE2929EC1A,33530EFD5C4705C52742EC3BAD583AA2724D2B64,CB6254808D1685977499A75ED2C0F18B44D15720C480FB407035F3804016ED89
105,Hash,F-ISAC,Malware,2BD8EE514C13A06687B5775E0A9EAF71,DB4F052EA308D531C8A57E74AD8B5B18449C19DE,1586D4E502D7470CF9D40A8057503CDF3A22274BFADC4CFB8FB60A4D095B6601
106,Hash,F-ISAC,Malware,928AF377877BAD5684B10581EC791113,1A5484EC1EC3A8E1550A234DE3CF655C495257E9,1A65BB2A1F4E0D29FB2032A4BAC41E0A5C18A88B2E7CBC7AC10549B08A6889FB
107,Hash,F-ISAC,Malware,6C2F6FBA14F6BADD1C747958F2CD79BF,9E1BBED9CA211E97E6E15EA794ED863A183CA40F,95149991E5E1F21C03B102049285AB0A2CE23A6D4EFF9646E04CD175484C803A
108,Hash,F-ISAC,Malware,1379CEADB01916ACBE9EE3E95182C980,,
109,Hash,F-ISAC,Malware,426EE09EAA0D8940AC5F730D1C48BE7C,FA9BFE49F0C71A1D37BF3FC9904C02C887EF665E,DAC9239FEC3730B79D6431665BF7493E5ADCD97B298FF3A06A843752A68EFF84
110,Hash,F-ISAC,Malware,F5BE81D841808C9AA7CE5A3EAB3098E2,758C4B33254B10193C93E71236272E298A70078D,92A222E258DC9D79093EB210961D41E8E6AA2E1E84F2F14E4453A6111F7AF441
111,Hash,F-ISAC,Malware,D7F6B09775B8D90D79404EDA715461B7,E206DB4DDAD984FE67BB44748F3EA6C38665AE8A,0EC2CFAE9709B12236052E43356E37DF2BF8601D76B48937CB14CC4C237C4CA7
112,Hash,F-ISAC,Malware,C65A1C8351A6E6C921A47AA60CADDE2B,3344E859D0088884D5835AE2464C10C1C12B2CD5,1EE08AA778528D1341F7B454F3E1602A657F8338FE0A4241BA8194ABF56D065A
113,Hash,F-ISAC,Malware,45C45262B5FD6CB231CCCB8C68E8FC2E,49CAC3ABBAAA859373E70A49E94A19D7F44F9048,93E83430F00009293C1B6AB053D7DB913E86D631FBDAAA2391CEDFC1D24F87D7
114,Hash,F-ISAC,Malware,FCFF1BD7B7192A78D13467906B4AD0F1,D6C7743F4EEAAEA41F12E5F6708166246FF93505,B17E14082FC01427A38189E4695401D851B93BD57A8A89F2667BF74B59F1E451
115,Hash,F-ISAC,Malware,651C46A29276497A5597868502E84A60,68FD7A68581358BEB7E5BB45E7442A63850361A9,856F7A6EB400922BADD970B0661332527B192E396DE34F7580ADC0C46E1708A1
116,Hash,F-ISAC,Malware,23A45C7EB14280668289467ED1251A8F,F0D2B76245568872ED0D2AFE20CB8CEEFE2557F4,A0083B7581CCF180385C07C3132E46A4A1108146013BD8C02EDC7E3B294D9326
