,IoCType,InfoSource,IoCCategory,IoCValue
302,IP,F-ISAC,Malware,8.130.23.157
303,IP,F-ISAC,Malware,8.130.23.157
304,IP,F-ISAC,Malware,193.3.19.238
305,IP,F-ISAC,Malware,8.134.49.138
306,IP,F-ISAC,Malware,104.232.108.190
307,IP,F-ISAC,Malware,164.92.164.68
308,IP,F-ISAC,Malware,20.214.205.89
309,IP,F-ISAC,Malware,20.214.205.89
310,IP,F-ISAC,Malware,119.23.61.52
311,IP,F-ISAC,Malware,101.34.222.185
312,IP,F-ISAC,Malware,42.192.2.200
313,IP,F-ISAC,Malware,101.34.162.92
314,IP,F-ISAC,Malware,154.12.228.19
315,IP,F-ISAC,Malware,106.55.166.56
316,IP,F-ISAC,Malware,64.225.49.117
317,IP,F-ISAC,Malware,154.22.124.57
318,IP,F-ISAC,Malware,54.153.95.154
319,IP,F-ISAC,Malware,119.91.207.9
320,IP,F-ISAC,Malware,135.148.9.77
321,IP,F-ISAC,Malware,135.148.9.77
322,IP,F-ISAC,Malware,120.26.240.21
323,IP,F-ISAC,Malware,2.58.149.183
324,IP,F-ISAC,Malware,192.3.67.108
325,IP,F-ISAC,Malware,192.3.67.108
326,IP,F-ISAC,Malware,192.3.67.108
327,IP,F-ISAC,Malware,23.225.180.182
328,IP,F-ISAC,Malware,23.225.180.182
329,IP,F-ISAC,Malware,152.32.129.71
330,IP,F-ISAC,Malware,45.15.19.100
331,IP,F-ISAC,Malware,91.213.50.117
332,IP,F-ISAC,Malware,45.124.64.81
333,IP,F-ISAC,Malware,47.93.63.179
334,IP,F-ISAC,Malware,101.35.10.69
335,IP,F-ISAC,Malware,8.218.52.179
336,IP,F-ISAC,Malware,198.199.64.153
337,IP,F-ISAC,Malware,3.8.171.71
338,IP,F-ISAC,Malware,106.15.53.153
339,IP,F-ISAC,Malware,114.55.36.76
340,IP,F-ISAC,Malware,114.55.36.76
341,IP,F-ISAC,Malware,101.42.231.228
342,IP,F-ISAC,Malware,1.15.74.43
343,IP,F-ISAC,Malware,34.91.186.44
344,IP,F-ISAC,Malware,34.91.186.44
345,IP,F-ISAC,Malware,81.70.245.223
346,IP,F-ISAC,Malware,37.72.172.110
347,IP,F-ISAC,Malware,37.72.172.110
348,IP,F-ISAC,Malware,37.72.172.110
349,IP,F-ISAC,Malware,121.43.134.91
350,IP,F-ISAC,Malware,91.240.118.63
351,IP,F-ISAC,Malware,124.71.144.177
352,IP,F-ISAC,Malware,194.31.53.128
353,IP,F-ISAC,Malware,192.161.176.16
354,IP,F-ISAC,Malware,47.98.164.231
355,IP,F-ISAC,Malware,94.103.9.29
356,IP,F-ISAC,Malware,150.158.143.198
357,IP,F-ISAC,Malware,175.24.207.248
358,IP,F-ISAC,Malware,107.173.214.112
359,IP,F-ISAC,Malware,82.157.110.128
360,IP,F-ISAC,Malware,101.35.96.214
361,IP,F-ISAC,Malware,94.103.9.78
362,IP,F-ISAC,Malware,116.62.188.205
363,IP,F-ISAC,Malware,116.204.211.185
364,IP,F-ISAC,Malware,42.193.53.74
365,IP,F-ISAC,Malware,31.44.184.63
366,IP,F-ISAC,Malware,18.117.180.175
